Título,Imagem,Subtítulo,Conteúdo,Autor,Data
TOMARA,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2020/06/oop_20_Tomara_Cover_Facebook.png,Primeiro single de Valencianas II," 
“Tomara Meu Deus Tomara que tudo o que nos separa / não frutifique e não valha” – os versos da canção TOMARA, de ALCEU VALENÇA, escritos há trinta anos, jamais soaram tão urgentes e atuais quanto neste atribulado 2020.
O primeiro single de VALENCIANAS II, segundo movimento da parceria do cantor e compositor pernambucano com a ORQUESTRA OURO PRETO, comandada pelo Maestro Rodrigo Toffolo, já está disponível em todas as plataformas digitais, antecipando o álbum e o DVD previstos para o final do ano.
Mais que o libelo por uma nação solidária, o single “Tomara” é malha rara que serve de antídoto para estes dias de incerteza. O arranjo, para cordas, percussão e banda, escrito por Mateus Freire, estabelece a ponte entre as sonoridades do nordeste profundo e o barroco mineiro de Ouro Preto, o lar da orquestra. A direção de cena do concerto é de Paulo Rogério Lage.
Nas palavras de Rodrigo Toffolo: “nada mais atual que o desejo por amor, esperança e dias melhores tão bem desenhados a essa nação solidária brasileira pelos versos de Alceu Valença”, diz o maestro.
Gravado em janeiro na Casa da Música, templo dos concertistas na cidade do Porto, em Portugal, VALENCIANAS II dá continuidade ao projeto lançado em 2015, que arrematou todos os prêmios e aplausos de público e crítica desde então. A partir de VALENCIANAS, a música de Alceu Valença estabeleceu um diálogo definitivo com a música de concerto e expandiu ainda mais seu alcance e suas possibilidades.
“É outro viés, um olhar diferente sobre a minha obra. Isso acontece muito em função do espírito da orquestra Ouro Preto. São músicos jovens que contagiam não apenas pela destreza com que executam seus instrumentos, mas pela maneira com que interpretam as nuances da minha música. E isso passa para a plateia. Quando fizemos Valencianas no Porto, o público português levantou-se para dançar em alguns números. Isso é impensável no ambiente da música de concerto (risos). Os arranjos captam com muita sensibilidade os caminhos da música que faço” – arremata Alceu Valença.
Clique aqui e ouça agora!
",admin,5/6/2020
LATINIDADE,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2020/03/oop_20_Domingos_Clássicos_Cover_Face_Latinidade2.png,CONCERTO ADIADO!," 
Pensando no bem-estar de nosso querido público, e seguindo as diretrizes da Organização Mundial da Saúde (OMS), Ministério da Saúde e Secretaria Estadual da Saúde, comunicamos o adiamento do concerto de abertura da Série Domingos Clássicos, Latinidade, que ocorreria no dia 22 de março, próximo domingo.
Em acordo com o Sesc, realizador do evento, remarcamos a apresentação para o dia 21 de junho de 2020, domingo, às 11h.  Os ingressos adquiridos continuarão valendo para a nova data. Para quem desejar o ressarcimento do valor pago nos ingressos, pedimos, por gentileza, que procure o site Ingresso Rápido ou as bilheterias do Sesc Palladium, que continuarão abertas e em funcionamento.
Neste momento, entendemos a importância de agir em prol da sociedade e agradecemos, de coração, a compreensão de todos.
",admin,5/3/2020
ACADEMIA EM OP,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2020/03/oop_20_Academia_Semana_Santa_OP_Cover_Facebook-1.png,"Dia 11/04, na Basílica do Pilar!","ACADEMIA ORQUESTRA OURO PRETO APRESENTA OBRA DE JOSEPH HAYDN EM CONCERTO ESPECIAL, NA SEMANA SANTA EM OURO PRETO
 
O concerto “As 7 últimas palavras de Cristo na cruz” será apresentado na Basílica de Nossa Senhora do Pilar, dia 11 de abril, às 19h, com entrada franca.
Dos tradicionais tapetes de serragem, às missas e procissões, a Semana Santa em Ouro Preto-MG será marcada também por uma liturgia única, que mistura a fé, a música e a religiosidade. Neste ano, a música do compositor Joseph Haydn (1732-1809) vai ecoar pela Basílica do Pilar, no Sábado de Aleluia, no concerto especial de estreia da Temporada 2020 da Academia Orquestra Ouro Preto.
Patrocinados pela SulAmérica e sob a regência do Maestro Rodrigo Toffolo, os jovens músicos da Academia apresentam no dia 11 de abril, às 19h, com entrada franca, “As 7 Últimas Palavras de Cristo na Cruz”, de Haydn (1732-1809). A obra reconstrói musicalmente as últimas palavras de Cristo por meio de sete Adágios, acrescidos de uma Introdução e um Presto. Na peça, a genialidade do compositor austríaco se escancara na maneira que ele encontra para mesclar tragédia e melancolia à uma atmosfera sublime e misericordiosa, ao retratar a natureza divina de Jesus Cristo e sua transfiguração, enfatizando o martírio do Homem Jesus e a Paixão do Cristo Deus.
Segundo o maestro, a obra é introspectiva e traduz, musicalmente, os aspectos mais espirituais e filosóficos da crucificação, e não apenas os carnais. “São sete movimentos dedicados às palavras ditas por Jesus na cruz. Cada movimento tem uma característica musical diferente – ora mais vibrante, ora mais densa”, explica Rodrigo Toffolo.
O compositor austríaco Joseph Haydn (1732-1809) foi o primeiro nome do classicismo vienense, seguido de Mozart e Beethoven. Sua obra, que compreende sinfonias e óperas, aberturas, cantatas, oratórios e outras peças, o converteu em uma das mais importantes figuras da música instrumental.
 
ACADEMIA ORQUESTRA OURO PRETO
Criada em 2019, a Academia Orquestra Ouro Preto já nasceu como referência em Minas Gerais. É formada por instrumentistas entre 18 e 28 anos de idade que têm em comum a paixão pela música, enxergando nela um futuro promissor e porta de entrada para a transformação de realidades sociais por meio da cultura.
Com sede no Sesc Palladium, em Belo Horizonte e atividades semanais, a Academia conta, atualmente, com 28 alunos e alunas bolsistas, de diferentes regiões do Estado. Os músicos recebem bolsa e de material didático, num formato inédito no que tange o incentivo para estudo e prática da música no país. As atividades são presenciais e ministradas por músicos e professores da Orquestra Ouro Preto. A Academia Orquestra Ouro Preto é patrocinada pela SulAmérica.
 
UM POUCO SOBRE A HISTÓRIA DA ORQUESTRA
Uma das mais prestigiadas formações orquestrais do país, a Orquestra Ouro Preto completa 20 anos de atividades ininterruptas em 2020 e se reafirma como uma orquestra de vanguarda. Sob a regência e direção artística do Maestro Rodrigo Toffolo, o grupo se dedica à formação de diferentes públicos, com uma extensa programação nas principais salas de concerto e espaços diversos no Brasil e no mundo.
Sob os signos da excelência e versatilidade atua também em projetos sociais e educacionais que vão muito além da música, como o Núcleo de Apoio a Bandas e a Academia Orquestra Ouro Preto. Premiado nacionalmente, o grupo comemora 20 anos de uma trajetória com onze trabalhos registrados em CD, sete DVDs. Foi vencedora do Prêmio da Música Brasileira em 2015, na categoria “Melhor Álbum de MPB”, e indicada ao Grammy Latino 2007, como “Melhor Disco Instrumental”, por Latinidade. Os discos “Latinidade – Música para as Américas”, “Antônio Vivaldi – Concerto para Cordas” e “The Little Prince”, versão em inglês do tributo prestado pela Orquestra à literatura de Saint-Exuperry, tem distribuição mundial pela gravadora Naxos, a mais importante do mundo dedicada à música de concerto.
——
SERVIÇO
Academia Orquestra Ouro Preto apresenta: “As 7 últimas palavras de Cristo na cruz”, de Joseph Haydn (1732-1809)
Dia 11 de abril, Sábado de Aleluia
Horário: 19h
Local: Basílica do Pilar (Praça Monsenhor Castilho Barbosa, 17, Pilar, Ouro Preto/MG)
Entrada franca
",admin,11/3/2020
"ALÔ, PORTUGAL!",http://www.orquestraouropreto.com.br/site/wp-content/uploads/2019/12/oop_19_Portugal_V2_Facebook_Cover.png,"Dias 20 e 21/01, em Portugal!","Depois do grande sucesso da primeira edição, espetáculo volta a terras portuguesas para duas apresentações.
 
Após a bem-sucedida parceria entre o cantor e compositor Alceu Valença, o maestro Rodrigo Toffolo e o diretor de cena Paulo Rogério Lage, com a criação de Valencianas, que rodou o Brasil inteiro e Portugal, sempre com apresentações esgotadas, o trio anuncia a continuidade do projeto com um novo espetáculo, sublimado na intercessão poética entre as ladeiras de Olinda (PE) e Ouro Preto (MG): o concerto Valencianas II.
O espetáculo chega com o desafio de trazer ao público novas músicas, novos arranjos e vai abranger ainda mais os sucessos de Alceu. Após apresentações pelo Brasil, nas cidades de Recife, Belo Horizonte e São Paulo, os músicos desembarcam em janeiro de 2020 em Portugal para duas apresentações. O primeiro concerto em terras portuguesas será na Casa da Música, no Porto, dia 20 de janeiro, segunda-feira, às 21h30. Em seguida o concerto desembarca em Lisboa, dia 21, no Casino Estoril, também às 21h30. A venda de ingressos para as duas apresentações pode é feita na bilheteria dos teatros ou no site www.ticketline.sapo.pt/.
 
Valencianas II
A Orquestra Ouro Preto, regida pelo Maestro Rodrigo Toffolo, e o cantor e compositor Alceu Valença, lançam a 2ª edição de Valencianas, com novas obras no repertório que pretendem surpreender os fãs da poesia de Alceu, com ainda mais beleza e sonoridades musicais. “Alceu é um ícone da música popular brasileira por sua eterna ousadia e, ao mesmo tempo, contemporaneidade. Por isso acreditamos que depois de cinco anos, estava na hora de, mais uma vez, associar os ritmos do sertão e o folk da guitarra elétrica de Alceu à música de concerto impregnada de versatilidade da Orquestra Ouro Preto”,  conta o maestro Toffolo lembrando que a parceria entre a música de concerto e a música popular brasileira surpreendeu até seus produtores que viram nesses cinco anos de projeto teatros sempre com ingressos esgotados dias antes das apresentações e plateias encantadas com a performance dos parceiros.
E o sucesso foi além dos teatros. Com a gravação do CD e DVD Valencianas I, Alceu Valença e Orquestra Ouro Preto tiveram o trabalho elogiado pela crítica levando-os a receber o Prêmio da Música Brasileira, em 2015, como melhor disco de MPB, categoria de maior prestígio da tradicional premiação.
No repertório novo, os inúmeros sucessos que ficaram de fora do primeiro espetáculo deixaram margem para que fosse árdua a tarefa de selecionar as canções que fariam parte desta segunda edição. O maestro Rodrigo Toffolo revela algumas: “Dia Branco”, “Solidão” “Tesoura do Desejo”, “Taxi Lunar” e “Pelas Ruas que Andei”, escolhidas a dedo por Alceu, estas obras prometem emocionar o público, em arranjos especialmente confeccionados por Mateus Freire, que também propõe uma nova Suíte Orquestral para abertura do espetáculo”, revela Rodrigo Toffolo.
“Mais uma vez, o que queremos é proporcionar um encontro inesquecível entre a música de concerto e a música de Alceu Valença, com Valencianas II. Uma forma não só de homenagear este mestre da MPB, bem como a brasilidade que a obra de Alceu nos remete”, conclui Rodrigo Toffolo.
 
Histórico
Valencianas, a primeira edição do espetáculo, foi concebida em 2010, para celebrar os 40 anos de carreira de Alceu Valença, fruto do encontro com Paulo Rogério Lage, que há tempos planejava proporcionar contornos orquestrais à sua obra, juntamente com o maestro da Orquestra Ouro Preto e o homenageado.
Até então, o trabalho do cantor e compositor pernambucano, não havia recebido contornos orquestrais, o que representou uma experiência inédita na carreira de Alceu. O sucesso da parceria foi absoluto, levando mais de cem mil pessoas a teatros e praças no Brasil e em Portugal.
Com a gravação do CD e DVD Valencianas: Alceu Valença e Orquestra Ouro Preto, em 2014, o trabalho, elogiado pela crítica e festejado pelo público, ganhou o Prêmio da Música Brasileira, em 2015, como melhor disco de MPB, categoria de maior prestígio da tradicional premiação. Já nas mídias sociais e em aplicativos de streaming, o sucesso da parceria alcançou números inimagináveis, tanto para artistas da MPB, quanto para Orquestras, registrando, por exemplo, mais de 30 milhões de visualizações e listenings no YouTube e Spotify, respectivamente.
 
A Orquestra
Uma das mais prestigiadas formações orquestrais do país, a Orquestra Ouro Preto tem como diretor artístico e regente titular o Maestro Rodrigo Toffolo. Premiado nacionalmente, o grupo jovem vem se apresentando nas principais salas de concerto do Brasil e do mundo. A orquestra foi criada em 2000 e seu trabalho é marcado pelo experimentalismo e ineditismo.
A essência da Orquestra Ouro Preto está em tornar a música de concerto acessível e interessante ao público, tirando a música erudita das salas de concerto e levando até o público em um exercício de popularização do estilo. Por isso, maestro e músicos estão sempre atentos ao exercício de desmistificar o estilo, tornando-o atraente aos ouvidos de todos.
A fórmula escolhida pela Orquestra Ouro Preto para isso é a junção entre a excelência e a versatilidade, a mistura entre o clássico e os estilos mais populares, fazendo um encontro milenar da música clássica com o rock, a MPB e até o hip hop, linguagens amplamente difundidas e repletas de contemporaneidade. Parte daí a especial atenção do grupo à efervescência cultural da América Latina, com foco na música brasileira de concerto e nas demais manifestações musicais de países vizinhos, assim como à pesquisa e difusão do repertório vinculado à Escola Mineira de Compositores do Séc. XVII
 
Maestro Rodrigo Toffolo
Rodrigo Toffolo é diretor artístico da Orquestra Ouro Preto desde sua fundação, em 2000, e assumiu a regência titular do grupo em 2007, após formação junto ao Maestro Ernani Aguiar, um dos maiores compositores e pesquisadores brasileiros em atividade. Doutorando em Ciências Musicais pela Universidade Nova de Lisboa (Portugal) e Mestre em Musicologia pela Universidade Federal do Rio de Janeiro, Rodrigo Toffolo imprimi na Orquestra uma visão ampliada de gestão e musicalidade, que ele gosta de conceituar como “excelência e versatilidade”.
 
Paulo Rogério Lage
Paulo Rogério é escritor e produtor cultural. Tem sua trajetória ligada a dois grupos de destaque no Brasil: Grupo Corpo e Orquestra Ouro Preto. Presidiu importantes instituições brasileiras como a Rádio Inconfidência e o Palácio das Artes, em Minas Gerais. Em 2019, lançou livro sobre a vida e obra de “Antônio José Vieira de Carvalho” primeiro professor de medicina do Brasil colonial em Ouro Preto, Brasil, e em Vila Nova da Barquinha, Portugal, terra natal do distinto cirurgião-mor.
 
Serviço
Valencianas II em Portugal
 
Data: 20 de janeiro de 2020, segunda-feira, 21h30
Local: Casa da Música (Av. da Boavista, 604)  Porto, Portugal
Atrações: Orquestra Ouro Preto e Alceu Valença
 
Data: 21 de janeiro de 2020, quinta-feira, 21h30
Local: Casino Estoril (Av. Dr. Stlanley Ho, 2765-190) Lisboa, Portugal
Atrações: Orquestra Ouro Preto e Alceu Valença
Ingressos: ticketline.sapo.pt
",admin,22/12/2019
O GRANDE GOVERNADOR,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2019/12/oop_19_SulAmerica_Academia_GGIL_DEZ_Facebook_Cover.png,"Dias 19 e 20/12, em Ouro Preto!","Alô, Ouro Preto! O Grande Governador da Ilha dos Lagartos está de volta à Casa Da Ópera!
Após o sucesso da estreia, o entremez volta a cartaz no dia 19/12, às 20h, e no dia dia 20/12, em duas sessões, 17h e 20h.
Extraída da obra “Vida do grande D. Quixote de la Mancha e do Gordo Sancho Pança”, produzida há mais de 300 anos, a história conta a aventura (ou seria desventura?) de Sancho Pança, leal companheiro e inesquecível figura desenhada por Cervantes, à frente do governo da“ilha dos lagartos”. Para cada cena, um desfecho inimaginável que surpreende pela inocência e ignorância tragicômica.
Uma perspicaz sátira que ganha vida, com direção musical e regência do Maestro Rodrigo Toffolo, direção de cena e produção de Julliano Mendes, em uma homenagem aos 280 anos do falecimento de um dos maiores dramaturgos da língua portuguesa de todos os tempos.
Ingressos a R$20,00, inteira. A renda será revertida em benefício da Santa Casa de Ouro Preto. Eles poderão ser adiquiridos com as voluntárias da Avoscop e no GLTA, Rua Paraná, 136, Centro de Ouro Preto.
Até lá!
",admin,10/12/2019
CONCERTO DE NATAL,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2019/11/oop_19_Mariana_Natal_Facebook_Cover.png,"Dia 14/12, em Mariana!","Tá chegando a hora de celebrar o Natal em nossa querida Mariana!  Dia 14 de dezembro, às 20h30, na Praça da Sé, apresentaremos nosso Concerto de Natal, aberto ao público! No repertório, músicas que prometem elevar o espírito e emocionar a toda família.
Vamos lá? O concerto é apresentado pela Prefeitura de Mariana e faz parte do Natal Luz da cidade. Vai ser lindo!

",admin,28/11/2019
AUTO DE NATAL,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2019/11/oop_19_Domingos_Clássicos_Cover_Face_Auto_de_Natal.png,"Dia 08/12, em BH!","Celebre o final do ano com a Orquestra Ouro Preto! Dia 8 de dezembro, domingo, 11h, no Sesc Palladium, apresentaremos nosso tradicional Auto de Natal.
O espetáculo une música e teatro e busca resgatar sentimentos de compaixão e solidariedade. No repertório, canções natalinas como Jingle Bells, So This is Christmas, Boas Festas, Noite Feliz e Meu Sapatinho.
Venha, e traga toda a família! Ingressos a preços populares. Clique aqui e compre os seus.
",admin,19/11/2019
OOP E PÉ DE SONHO,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2019/11/oop_19_Domingos_Clássicos_Cover_Face_Pé_De_Sonho.png,"Duas sessões dia 21/12, em BH!","Essa é para a meninada!  Após o sucesso da primeira apresentação durante a série Domingos Clássicos, a Orquestra Ouro Preto e o grupo infantil Pé de Sonho, voltam a se reunir para duas sessões dia 21/12, sábado, às 15:30 e 18:30, no Sesc Palladium.
O resultado dessa parceria é um clima de encanto e ousadia que envolve crianças e adultos em um universo lúdico e musical. Quem não gostaria de ver e ouvir canções como Bicho de Bocão, Lá vai Chapeuzinho e Rock da Barata com essa nova roupagem?
Corra e garanta os seus ingressos! Dá outra vez acabou rapidinho e muita gente ficou de fora…
Ingressos
Os ingressos para o concerto “Orquestra Ouro Preto e Pé de Sonho” estão à venda na bilheteria do Sesc Palladium e em www.ingressorapido.com.br. Os convites custam entre R$10,00 e R$50,00 (inteira).
",admin,10/11/2019
OOP E IVAN LINS,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2019/11/oop_19_SulAmerica_SP_Ivan_Facebook_Cover.png,"Dia 25/11, em SP!
","Orquestra Ouro Preto, Ivan Lins e Gilson Peranzzetta!
 
",admin,4/11/2019
MOSTRA FINAL DE BANDAS,http://www.orquestraouropreto.com.br/site/wp-content/uploads/2019/11/oop_19_NAB_Mostra_Final_Cover_Facebook-1.png,"Dias 16 e 17 de novembro!
","Mostra Final reúne bandas do Núcleo de Apoio a Bandas da Orquestra Ouro Preto.
 
É como muita satisfação que convidamos à Mostra Final do Núcleo de Apoio a Bandas 2019.
No dia 16 de novembro, 15h, reuniremos, na Praça Tiradentes, as 5 bandas que fazem parte do projeto. Elas representarão as cidades de Aimorés, Brumadinho, Rodrigo Silva, Amarantina e Mariana. para fechar o dia, ainda teremos a Banda Sinfônica Vale Música de Serra, no Espírito Santo.
E não para por ai. No dia 17, às 11h, na Praça Gomes Freire em Mariana, teremos mais uma apresentação da Banda Sinfônica Vale Música de Serra/ES, para fechar com chave de ouro essa grande celebração!
Contamos com a presença de todos para abrilhantar os eventos e não permitir que a história fique apenas na memória!
",admin,4/11/2019
